run_id,timestamp,world,run_start_t,gates_detected,gate_positions,gates_lost_count,lap2_start_t,lap2_end_t,lap2_duration_s,lap2_started,lap2_finished,timed_out,notes
4,2026-04-29T22:23:24,crazyflie_world_assignment.wbt,0.01,5,"[2.67, 2.16, 1.58] | [5.65, 1.37, 1.43] | [6.39, 3.86, 1.51] | [6.16, 6.59, 1.79] | [2.14, 6.45, 1.55]",2,117.66,140.93,23.27,True,True,False,gate_lost_at=5 | gate_lost_at=5
5,2026-04-29T22:28:24,crazyflie_world_assignment.wbt,0.01,5,"[2.02, 1.7, 1.74] | [5.11, 2.57, 1.58] | [6.1, 4.19, 1.24] | [5.65, 6.87, 1.91] | [3.53, 5.73, 1.17]",0,64.42,84.82,20.4,True,True,False,
6,2026-04-29T22:31:21,crazyflie_world_assignment.wbt,0.02,5,"[3.2, 2.7, 1.71] | [4.71, 1.78, 1.46] | [3.4, 2.36, 1.84] | [2.83, 6.1, 1.68] | [5.74, 6.9, 0.83]",2,228.45,,,True,False,True,gate_lost_at=4 | gate_lost_at=4 | timeout_at_real=528s
7,2026-04-29T22:40:09,crazyflie_world_assignment.wbt,0.02,5,"[2.61, 2.61, 1.22] | [5.47, 1.69, 1.51] | [7.01, 4.52, 1.08] | [5.56, 6.97, 0.67] | [2.66, 6.59, 0.77]",0,58.67,81.2,22.53,True,True,False,
8,2026-04-29T22:42:59,crazyflie_world_assignment.wbt,0.01,5,"[2.83, 1.53, 1.43] | [5.77, 1.96, 1.85] | [7.2, 3.26, 1.15] | [5.15, 5.24, 1.13] | [2.32, 6.72, 1.13]",0,61.72,84.59,22.87,True,True,False,
9,2026-04-29T22:46:00,crazyflie_world_assignment.wbt,0.01,5,"[2.44, 1.74, 0.97] | [5.46, 1.37, 1.86] | [6.25, 4.43, 0.85] | [4.79, 7.04, 0.8] | [1.88, 6.42, 1.88]",0,62.43,86.57,24.14,True,True,False,
10,2026-04-29T22:49:01,crazyflie_world_assignment.wbt,0.02,5,"[2.54, 2.18, 1.85] | [5.74, 1.65, 1.1] | [5.9, 4.04, 1.0] | [5.42, 6.15, 1.69] | [2.38, 6.69, 1.18]",0,65.72,87.58,21.86,True,True,False,
11,2026-04-29T22:52:05,crazyflie_world_assignment.wbt,0.01,3,"[3.1, 1.37, 0.77] | [5.58, 5.89, 1.82] | [2.89, 7.26, 1.79] | [6.38, 3.49, 1.25] | [1.88, 1.79, 1.35] | [6.07, 1.95, 1.01] | [7.13, 3.69, 0.82] | [5.35, 5.71, 1.8] | [3.73, 6.22, 1.76] | [2.35, 2.32, 1.85] | [4.27, 2.48, 1.07] | [5.33, 5.34, 1.2]",3,56.7,,,True,False,True,gate_lost_at=2 | gate_lost_at=2 | gate_lost_at=3 | timeout_at_real=528s
12,2026-04-29T23:00:53,crazyflie_world_assignment.wbt,0.02,5,"[3.33, 2.09, 1.27] | [4.93, 2.42, 0.56] | [6.28, 3.75, 1.04] | [5.31, 5.61, 1.4] | [3.09, 5.18, 1.85]",0,60.98,76.93,15.94,True,True,False,
13,2026-04-29T23:03:35,crazyflie_world_assignment.wbt,0.01,5,"[3.2, 1.0, 0.89] | [5.2, 1.07, 1.82] | [7.06, 4.68, 0.85] | [5.22, 6.63, 0.88] | [2.75, 6.23, 1.34] | [3.27, 2.53, 1.42] | [4.84, 2.74, 1.55] | [5.74, 4.28, 1.69] | [4.89, 5.3, 0.83] | [2.67, 6.72, 0.79] | [1.97, 1.75, 1.31] | [5.07, 0.86, 0.71] | [5.78, 4.33, 0.69] | [5.68, 6.29, 1.63] | [1.95, 6.64, 1.57]",0,63.38,87.76,24.38,True,True,False,
14,2026-04-29T23:11:34,crazyflie_world_assignment.wbt,0.01,5,"[2.43, 2.5, 1.86] | [6.09, 1.37, 1.32] | [6.35, 4.4, 1.1] | [4.99, 6.62, 1.92] | [2.4, 5.85, 1.77]",0,70.06,98.77,28.7,True,True,False,
